     #Energy         O_s         O_p        Mo_s        Mo_p        Mo_d
   -63.04717     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.02417     0.00000     0.00000     0.00000     0.00000     0.00000
   -63.00117     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.97817     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.95517     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.93117     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.90817     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.88517     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.86217     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.83917     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.81517     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.79217     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.76917     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.74617     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.72317     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.70017     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.67617     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.65317     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.63017     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.60717     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.58417     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.56017     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.53717     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.51417     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.49117     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.46817     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.44417     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.42117     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.39817     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.37517     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.35217     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.32917     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.30517     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.28217     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.25917     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.23617     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.21317     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.18917     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.16617     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.14317     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.12017     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.09717     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.07417     0.00000     0.00000     0.00000     0.00000     0.00000
