     #Energy        Mo_s        Mo_p        Mo_d         O_s         O_p
   -41.36186     0.00000     0.00000     0.00000     0.00000     0.00000
   -41.12886     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.89686     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.66386     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.43186     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.19886     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.96586     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.73386     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.50086     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.26886     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.03586     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.80286     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.57086     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.33786     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.10586     0.00000     0.00000     0.00000     0.00000     0.00000
   -37.87286     0.00000     0.00000     0.00000     0.00000     0.00000
   -37.63986     0.00000     0.00000     0.00000     0.00000     0.00000
   -37.40786     0.00000     0.00000     0.00000     0.00000     0.00000
   -37.17486     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.94286     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.70986     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.47686     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.24486     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.01186     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.77986     0.02376    81.23823     0.04894     0.00679     0.00219
   -35.54686     0.12889   363.85860     0.28834     0.01284     0.00259
   -35.31386     0.12957   359.02290     0.37745     0.01414     0.00782
   -35.08186     0.10109   377.58260     0.44639     0.00887     0.01486
   -34.84886     0.06235   413.37980     0.43725     0.00547     0.00393
   -34.61686     0.10051   504.61200     0.32150     0.00242     0.00167
   -34.38386     0.03823   317.98620     0.15591     0.00026     0.00073
   -34.15086     0.00000     0.00000     0.00000     0.00000     0.00000
   -33.91886     0.00000     0.00000     0.00000     0.00000     0.00000
   -33.68586     0.00000     0.00000     0.00000     0.00000     0.00000
   -33.45386     0.00000     0.00000     0.00000     0.00000     0.00000
   -33.22086     0.00000     0.00000     0.00000     0.00000     0.00000
   -32.98786     0.00000     0.00000     0.00000     0.00000     0.00000
   -32.75586     0.00000     0.00000     0.00000     0.00000     0.00000
