     #Energy        Mo_s        Mo_p        Mo_d         O_s         O_p        Nb_s        Nb_p        Nb_d
   -62.91684     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.89384     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.86984     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.84684     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.82384     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.80084     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.77784     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.75384     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.73084     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.70784     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.68484     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.66184     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.63784     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.61484     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.59184     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.56884     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.54584     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.52184     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.49884     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.47584     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.45284     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.42984     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.40584     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.38284     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.35984     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.33684     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.31384     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.28984     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.26684     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.24384     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.22084     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.19784     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.17384     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.15084     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.12784     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.10484     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.08184     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.05784     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.03484     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -62.01184     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.98884     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.96584     0.00007     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.94184     0.00017     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.91884     0.00037     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.89584     0.00081     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.87284     0.00170     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.84984     0.00350     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.82584     0.00702     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.80284     0.01375     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.77984     0.02629     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.75684     0.04908     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.73384     0.08948     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.70984     0.15934     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.68684     0.27731     0.00002     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.66384     0.47170     0.00003     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.64084     0.78453     0.00006     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.61784     1.27623     0.00009     0.00006     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.59384     2.03124     0.00015     0.00010     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.57084     3.16410     0.00023     0.00016     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.54784     4.82596     0.00035     0.00026     0.00000     0.00000     0.00000     0.00000     0.00000
   -61.52484     7.20924     0.00053     0.00040     0.00000     0.00000     0.00001     0.00000     0.00000
   -61.50184    10.55142     0.00078     0.00063     0.00000     0.00000     0.00001     0.00000     0.00000
   -61.47784    15.13756     0.00112     0.00095     0.00000     0.00000     0.00002     0.00000     0.00000
   -61.45484    21.29278     0.00157     0.00142     0.00000     0.00000     0.00002     0.00000     0.00000
   -61.43184    29.37670     0.00216     0.00206     0.00000     0.00000     0.00003     0.00000     0.00000
   -61.40884    39.76357     0.00291     0.00294     0.00000     0.00000     0.00004     0.00000     0.00000
   -61.38584    52.82253     0.00383     0.00410     0.00001     0.00001     0.00005     0.00001     0.00000
   -61.36184    68.88218     0.00495     0.00560     0.00001     0.00001     0.00007     0.00001     0.00000
   -61.33884    88.18825     0.00627     0.00749     0.00001     0.00001     0.00009     0.00001     0.00000
   -61.31584   110.88901     0.00777     0.00980     0.00002     0.00002     0.00011     0.00001     0.00000
   -61.29284   136.94347     0.00945     0.01257     0.00002     0.00003     0.00014     0.00002     0.00000
   -61.26984   166.13170     0.01127     0.01577     0.00003     0.00003     0.00017     0.00002     0.00001
   -61.24684   198.00690     0.01318     0.01937     0.00004     0.00004     0.00020     0.00003     0.00001
   -61.22284   231.89080     0.01513     0.02329     0.00005     0.00006     0.00023     0.00004     0.00001
   -61.19984   266.86660     0.01704     0.02742     0.00006     0.00007     0.00027     0.00004     0.00001
   -61.17684   301.85310     0.01885     0.03162     0.00008     0.00009     0.00030     0.00005     0.00002
   -61.15384   335.61220     0.02049     0.03571     0.00009     0.00011     0.00034     0.00006     0.00002
   -61.13084   366.87990     0.02189     0.03951     0.00011     0.00012     0.00038     0.00007     0.00002
