Tue Jun 02 09:25:21 2020

Number of Points = 3020
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.239007	0.156303	0.000000	0.000030	0.492813

1.090557	0.203449	0.005005	0.000057	0.492796
1.233658	0.159255	0.010010	0.000031	0.492816
1.199203	0.165220	0.015014	0.000038	0.492795
1.317853	0.097629	0.020019	0.000016	0.492708
1.212264	0.073420	0.025024	0.000035	0.492500
1.260878	0.054594	0.030029	0.000027	0.492494
1.189731	0.082252	0.035034	0.000040	0.492503
1.182286	0.087477	0.040038	0.000041	0.492511
1.269010	-0.013395	0.045043	0.000025	0.492274
1.354000	-0.068210	0.050048	0.000010	0.492189
1.135795	0.003358	0.055053	0.000050	0.492171
1.367293	-0.165583	0.060058	0.000008	0.491875
1.231728	-0.119896	0.065062	0.000032	0.491868
1.246029	-0.210978	0.070067	0.000030	0.491577
1.294242	-0.245279	0.075072	0.000021	0.491518
1.339558	-0.338823	0.080077	0.000013	0.491255
1.204987	-0.345666	0.085082	0.000037	0.491071
1.301798	-0.429347	0.090086	0.000020	0.490903
1.149796	-0.463784	0.095091	0.000047	0.490605
1.233465	-0.549751	0.100096	0.000032	0.490413
1.199817	-0.607383	0.105101	0.000038	0.490177
1.101561	-0.634548	0.110106	0.000056	0.489967
1.106306	-0.725792	0.115110	0.000055	0.489663
0.985110	-0.760177	0.120115	0.000077	0.489401
0.921964	-0.814699	0.125120	0.000089	0.489139
1.118675	-0.949646	0.130125	0.000053	0.488916
1.096989	-1.030122	0.135130	0.000057	0.488616
1.054767	-1.107572	0.140134	0.000065	0.488301
1.080213	-1.216089	0.145139	0.000060	0.487962
1.026743	-1.296707	0.150144	0.000070	0.487623
1.081324	-1.416495	0.155149	0.000060	0.487279
0.994148	-1.493656	0.160154	0.000076	0.486911
0.905716	-1.573774	0.165158	0.000092	0.486530
1.085823	-1.744576	0.170163	0.000060	0.486163
1.074755	-1.859229	0.175168	0.000062	0.485757
1.091757	-1.984460	0.180173	0.000059	0.485348
1.067332	-2.108741	0.185178	0.000063	0.484893
1.113204	-2.242387	0.190182	0.000055	0.484489
1.095270	-2.372616	0.195187	0.000058	0.484020
1.004035	-2.456078	0.200192	0.000075	0.483623
1.074589	-2.634876	0.205197	0.000062	0.483093
1.017051	-2.739121	0.210202	0.000073	0.482664
0.938321	-2.872292	0.215206	0.000087	0.482109
1.003751	-3.031656	0.220211	0.000075	0.481638
0.758006	-3.093363	0.225216	0.000119	0.481125
0.914682	-3.302620	0.230221	0.000091	0.480592
0.971726	-3.474634	0.235226	0.000081	0.480066
0.945477	-3.622675	0.240230	0.000086	0.479521
