Tue Jun 02 09:03:20 2020

Number of Points = 3026
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.081209	-0.025521	0.000000	-0.000016	0.485655

0.998604	-0.003334	0.005005	-0.000001	0.485630
1.105348	-0.031722	0.010010	-0.000020	0.485661
0.959789	0.011417	0.015014	0.000006	0.485632
1.178065	-0.063920	0.020019	-0.000033	0.485636
1.019365	-0.007079	0.025024	-0.000004	0.485638
1.098458	-0.078229	0.030029	-0.000018	0.485489
0.899856	-0.056886	0.035034	0.000018	0.485321
0.893210	-0.051325	0.040038	0.000019	0.485331
0.817035	-0.041113	0.045043	0.000033	0.485273
1.013925	-0.178942	0.050048	-0.000002	0.485037
0.917415	-0.153814	0.055053	0.000015	0.485006
1.102505	-0.283478	0.060058	-0.000018	0.484783
1.038191	-0.287105	0.065062	-0.000006	0.484692
1.076897	-0.382774	0.070067	-0.000013	0.484409
0.896575	-0.346807	0.075072	0.000020	0.484314
0.997398	-0.448513	0.080077	0.000002	0.484085
0.949390	-0.486317	0.085082	0.000011	0.483896
0.979260	-0.541248	0.090086	0.000005	0.483742
0.855682	-0.572794	0.095091	0.000028	0.483483
1.007063	-0.704586	0.100096	0.000001	0.483212
0.838811	-0.726164	0.105101	0.000031	0.482932
1.066626	-0.872445	0.110106	-0.000010	0.482704
0.869090	-0.887047	0.115110	0.000026	0.482413
0.910643	-0.986896	0.120115	0.000019	0.482118
0.842063	-1.047846	0.125120	0.000031	0.481823
0.980723	-1.185643	0.130125	0.000006	0.481515
0.985428	-1.286292	0.135130	0.000006	0.481171
0.931274	-1.364537	0.140134	0.000016	0.480834
0.923314	-1.469647	0.145139	0.000017	0.480459
0.971654	-1.580296	0.150144	0.000009	0.480134
0.887063	-1.675128	0.155149	0.000024	0.479701
0.928876	-1.797457	0.160154	0.000017	0.479327
0.937627	-1.899732	0.165158	0.000016	0.478981
0.861108	-1.981509	0.170163	0.000030	0.478602
0.818959	-2.101130	0.175168	0.000037	0.478134
0.881608	-2.232401	0.180173	0.000026	0.477753
0.776492	-2.333499	0.185178	0.000045	0.477270
0.813736	-2.467759	0.190182	0.000039	0.476847
0.676115	-2.556489	0.195187	0.000064	0.476367
0.721193	-2.710635	0.200192	0.000056	0.475883
0.828777	-2.891468	0.205197	0.000037	0.475382
0.749693	-2.999168	0.210202	0.000051	0.474906
0.646182	-3.116946	0.215206	0.000070	0.474365
0.716413	-3.270802	0.220211	0.000057	0.473911
0.621016	-3.389082	0.225216	0.000075	0.473376
0.572489	-3.528149	0.230221	0.000084	0.472826
0.445833	-3.642186	0.235226	0.000107	0.472266
0.409572	-3.770896	0.240230	0.000114	0.471767
0.397648	-3.926577	0.245235	0.000116	0.471202
0.556527	-4.145731	0.250240	0.000087	0.470624
0.296502	-4.220835	0.255245	0.000135	0.470033
0.327034	-4.390023	0.260250	0.000129	0.469471
0.330268	-4.549057	0.265254	0.000129	0.468911
0.249981	-4.688612	0.270259	0.000144	0.468314
0.104181	-4.811970	0.275264	0.000170	0.467692
0.263016	-5.037555	0.280269	0.000142	0.467087
-0.043486	-5.108986	0.285274	0.000197	0.466446
-0.118399	-5.254839	0.290278	0.000211	0.465830
-0.490494	-5.296064	0.295283	0.000278	0.465213
-2.599681	-4.698562	0.300288	0.000660	0.464690
-2.608834	-4.797251	0.305293	0.000661	0.464323
-2.997436	-4.752393	0.310298	0.000732	0.463992
-3.217280	-4.798476	0.315302	0.000772	0.463548
-3.576764	-4.766812	0.320307	0.000837	0.463205
-3.917839	-4.742032	0.325312	0.000899	0.462861
-4.177716	-4.737376	0.330317	0.000946	0.462547
-4.671736	-4.646886	0.335322	0.001035	0.462245
