Tue Jun 02 09:19:19 2020

Number of Points = 3025
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.004766	0.042492	0.000000	0.000021	0.492802

1.003023	0.043365	0.005005	0.000022	0.492803
1.075712	0.018094	0.010010	0.000009	0.492804
0.972668	0.056127	0.015014	0.000027	0.492809
0.757514	0.125758	0.020019	0.000066	0.492788
0.996173	-0.002323	0.025024	0.000023	0.492640
0.799025	0.022276	0.030029	0.000059	0.492488
0.928368	-0.017939	0.035034	0.000035	0.492506
0.933811	-0.021806	0.040038	0.000034	0.492499
0.914737	-0.037538	0.045043	0.000038	0.492423
1.090199	-0.173426	0.050048	0.000006	0.492172
1.021699	-0.150120	0.055053	0.000019	0.492169
1.032595	-0.226026	0.060058	0.000017	0.491925
1.019153	-0.237599	0.065062	0.000019	0.491870
0.888055	-0.265728	0.070067	0.000043	0.491618
1.017310	-0.327209	0.075072	0.000020	0.491564
0.767632	-0.325412	0.080077	0.000065	0.491272
0.973079	-0.423918	0.085082	0.000028	0.491183
1.059506	-0.533471	0.090086	0.000012	0.490915
1.012897	-0.586376	0.095091	0.000021	0.490680
0.905066	-0.614396	0.100096	0.000040	0.490456
0.876187	-0.666464	0.105101	0.000045	0.490245
0.790355	-0.716919	0.110106	0.000061	0.489971
0.882682	-0.828103	0.115110	0.000044	0.489703
0.788022	-0.874703	0.120115	0.000062	0.489432
0.819761	-0.960135	0.125120	0.000056	0.489179
0.940251	-1.078958	0.130125	0.000034	0.488919
0.833169	-1.129573	0.135130	0.000054	0.488618
0.875728	-1.241077	0.140134	0.000046	0.488289
0.924381	-1.354160	0.145139	0.000037	0.487962
0.801946	-1.417159	0.150144	0.000059	0.487600
0.819462	-1.520667	0.155149	0.000056	0.487268
0.913756	-1.676761	0.160154	0.000039	0.486848
0.975566	-1.806722	0.165158	0.000028	0.486478
0.820953	-1.868884	0.170163	0.000056	0.486079
0.811740	-1.983098	0.175168	0.000058	0.485677
0.721381	-2.083344	0.180173	0.000074	0.485224
0.735110	-2.199381	0.185178	0.000072	0.484842
0.768108	-2.343223	0.190182	0.000066	0.484388
0.801280	-2.476927	0.195187	0.000060	0.483969
0.646054	-2.549002	0.200192	0.000088	0.483533
0.675650	-2.698350	0.205197	0.000083	0.483055
0.769951	-2.868642	0.210202	0.000066	0.482583
0.717988	-2.994134	0.215206	0.000075	0.482086
0.542336	-3.083144	0.220211	0.000107	0.481565
0.572705	-3.232989	0.225216	0.000102	0.481084
0.424684	-3.342643	0.230221	0.000128	0.480524
0.485121	-3.502569	0.235226	0.000118	0.480044
0.460576	-3.649659	0.240230	0.000122	0.479504
0.501064	-3.806746	0.245235	0.000115	0.479008
0.436249	-3.941407	0.250240	0.000127	0.478461
0.451367	-4.105529	0.255245	0.000124	0.477909
0.363040	-4.243337	0.260250	0.000140	0.477320
0.318922	-4.391751	0.265254	0.000148	0.476748
0.283278	-4.550631	0.270259	0.000154	0.476150
0.317071	-4.733815	0.275264	0.000148	0.475551
0.140231	-4.849776	0.280269	0.000180	0.474927
0.156458	-5.024168	0.285274	0.000177	0.474335
0.118645	-5.184683	0.290278	0.000184	0.473725
-0.416375	-5.173758	0.295283	0.000281	0.473101
-2.604456	-4.547593	0.300288	0.000677	0.472590
-2.356928	-4.751235	0.305293	0.000632	0.472180
-2.823242	-4.696842	0.310298	0.000716	0.471793
-3.143625	-4.685918	0.315302	0.000774	0.471433
-3.614175	-4.634472	0.320307	0.000859	0.471028
-3.651873	-4.709993	0.325312	0.000866	0.470714
-4.026276	-4.677328	0.330317	0.000934	0.470363
-4.345326	-4.646891	0.335322	0.000991	0.470073
-4.971431	-4.504536	0.340326	0.001105	0.469795
-4.744186	-4.662441	0.345331	0.001064	0.469519
-4.854528	-4.704370	0.350336	0.001084	0.469233
-5.212983	-4.640042	0.355341	0.001148	0.469012
-5.549389	-4.594578	0.360346	0.001209	0.468753
-5.408326	-4.709684	0.365350	0.001184	0.468520
