Tue Jun 02 09:14:01 2020

Number of Points = 3016
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.050755	0.177422	0.000000	0.000071	0.492939

1.202035	0.182466	0.005005	0.000044	0.493136
1.056247	0.227465	0.010010	0.000070	0.493114
1.093777	0.221649	0.015014	0.000063	0.493138
1.208882	0.122406	0.020019	0.000043	0.492940
1.193603	0.090125	0.025024	0.000045	0.492813
1.134192	0.106581	0.030029	0.000056	0.492798
1.282786	0.055790	0.035034	0.000029	0.492803
1.221356	0.079850	0.040038	0.000041	0.492810
1.170131	0.053561	0.045043	0.000050	0.492661
1.221419	-0.012369	0.050048	0.000041	0.492499
1.209920	-0.002816	0.055053	0.000043	0.492517
1.117306	-0.039581	0.060058	0.000060	0.492282
1.001724	-0.023962	0.065062	0.000080	0.492197
1.106201	-0.091115	0.070067	0.000062	0.492095
1.146136	-0.171981	0.075072	0.000054	0.491868
1.163590	-0.211765	0.080077	0.000051	0.491755
1.043282	-0.227325	0.085082	0.000073	0.491558
1.104506	-0.305886	0.090086	0.000062	0.491365
1.083799	-0.340054	0.095091	0.000066	0.491225
1.184069	-0.468884	0.100096	0.000048	0.490908
1.125108	-0.506638	0.105101	0.000059	0.490709
1.069625	-0.554998	0.110106	0.000069	0.490479
1.101453	-0.630614	0.115110	0.000063	0.490260
0.986216	-0.669139	0.120115	0.000084	0.489991
0.972496	-0.755663	0.125120	0.000086	0.489681
0.881691	-0.802312	0.130125	0.000103	0.489413
1.011081	-0.926848	0.135130	0.000079	0.489145
1.046506	-1.018703	0.140134	0.000073	0.488875
1.009756	-1.089130	0.145139	0.000080	0.488591
1.004168	-1.192743	0.150144	0.000081	0.488231
0.987316	-1.279816	0.155149	0.000084	0.487914
0.808089	-1.322109	0.160154	0.000116	0.487554
0.730088	-1.401388	0.165158	0.000130	0.487190
0.799743	-1.533986	0.170163	0.000118	0.486820
0.836064	-1.650065	0.175168	0.000111	0.486467
0.833321	-1.762788	0.180173	0.000112	0.486078
0.870043	-1.884528	0.185178	0.000105	0.485706
0.900279	-2.034934	0.190182	0.000100	0.485227
1.041222	-2.195576	0.195187	0.000075	0.484846
1.022251	-2.331556	0.200192	0.000078	0.484356
1.089187	-2.474099	0.205197	0.000066	0.483947
0.692211	-2.476888	0.210202	0.000138	0.483456
0.967007	-2.703128	0.215206	0.000088	0.483011
0.812722	-2.803642	0.220211	0.000116	0.482477
0.726333	-2.905040	0.225216	0.000132	0.482022
0.792135	-3.087283	0.230221	0.000120	0.481473
0.795910	-3.232778	0.235226	0.000119	0.480975
0.560428	-3.301585	0.240230	0.000162	0.480449
0.697450	-3.504996	0.245235	0.000137	0.479912
0.647404	-3.642576	0.250240	0.000146	0.479373
0.723003	-3.809034	0.255245	0.000133	0.478888
0.605576	-3.931426	0.260250	0.000154	0.478319
0.637201	-4.104897	0.265254	0.000148	0.477754
0.462917	-4.220298	0.270259	0.000180	0.477137
0.501488	-4.398870	0.275264	0.000173	0.476562
0.397602	-4.543553	0.280269	0.000192	0.475929
0.334545	-4.688073	0.285274	0.000203	0.475345
0.143588	-4.797913	0.290278	0.000238	0.474725
0.310229	-5.019690	0.295283	0.000208	0.474153
0.196501	-5.158606	0.300288	0.000228	0.473525
0.045149	-5.283655	0.305293	0.000256	0.472898
-0.172344	-5.390427	0.310298	0.000295	0.472252
-0.612352	-5.403281	0.315302	0.000375	0.471660
-2.217921	-4.989239	0.320307	0.000665	0.471124
-4.074796	-4.439737	0.325312	0.001000	0.470752
-4.165214	-4.491005	0.330317	0.001017	0.470458
-4.454695	-4.458455	0.335322	0.001069	0.470212
-4.624666	-4.467070	0.340326	0.001100	0.469970
-4.726543	-4.495101	0.345331	0.001118	0.469743
-5.047313	-4.454058	0.350336	0.001176	0.469488
-5.271407	-4.451645	0.355341	0.001217	0.469216
-5.441298	-4.439032	0.360346	0.001248	0.469048
-5.479019	-4.467041	0.365350	0.001255	0.468901
-5.772674	-4.449091	0.370355	0.001308	0.468597
-5.953965	-4.445343	0.375360	0.001340	0.468384
-6.023794	-4.466874	0.380365	0.001353	0.468219
-6.288249	-4.443049	0.385370	0.001401	0.467972
-6.370882	-4.472977	0.390374	0.001416	0.467762
-6.611784	-4.418337	0.395379	0.001459	0.467654
-6.832860	-4.432660	0.400384	0.001499	0.467326
-6.834823	-4.460941	0.405389	0.001500	0.467222
-7.187035	-4.393963	0.410394	0.001564	0.467018
-7.268422	-4.419333	0.415398	0.001578	0.466826
-7.425520	-4.394974	0.420403	0.001607	0.466715
-7.274344	-4.519502	0.425408	0.001579	0.466461
-7.321946	-4.544584	0.430413	0.001588	0.466311
-7.814698	-4.431423	0.435418	0.001677	0.466095
-7.928705	-4.450016	0.440422	0.001698	0.465884
-8.072877	-4.425766	0.445427	0.001724	0.465789
-8.433177	-4.373035	0.450432	0.001789	0.465524
-8.410302	-4.396015	0.455437	0.001785	0.465470
-8.444297	-4.455791	0.460442	0.001791	0.465213
-8.296290	-4.531137	0.465446	0.001764	0.465130
-8.955001	-4.384654	0.470451	0.001884	0.464823
-8.748499	-4.470190	0.475456	0.001846	0.464777
-9.254622	-4.363255	0.480461	0.001938	0.464521
-8.978027	-4.476709	0.485466	0.001888	0.464464
-9.321693	-4.429298	0.490470	0.001950	0.464199
-9.328308	-4.444408	0.495475	0.001951	0.464136
-9.670558	-4.374650	0.500480	0.002013	0.463954
-9.485159	-4.476470	0.505485	0.001980	0.463823
-9.894020	-4.385510	0.510490	0.002054	0.463632
-9.947985	-4.413038	0.515494	0.002063	0.463464
-10.099395	-4.401411	0.520499	0.002091	0.463314
-9.958192	-4.499672	0.525504	0.002065	0.463140
-10.370375	-4.396955	0.530509	0.002140	0.462986
-10.602990	-4.363397	0.535514	0.002182	0.462812
-10.699892	-4.365750	0.540518	0.002199	0.462680
-10.521324	-4.480232	0.545523	0.002167	0.462495
-10.767895	-4.428673	0.550528	0.002212	0.462367
-11.006140	-4.412667	0.555533	0.002255	0.462122
-11.078527	-4.405885	0.560538	0.002268	0.462055
-11.196923	-4.433755	0.565542	0.002290	0.461804
-11.214243	-4.444024	0.570547	0.002293	0.461744
-11.594566	-4.381783	0.575552	0.002361	0.461485
-11.729601	-4.349616	0.580557	0.002386	0.461429
-11.690823	-4.423913	0.585562	0.002379	0.461210
-11.669473	-4.461599	0.590566	0.002375	0.461101
-12.156906	-4.364819	0.595571	0.002463	0.460830
-12.196405	-4.359406	0.600576	0.002470	0.460799
-12.155210	-4.444866	0.605581	0.002463	0.460543
-12.173677	-4.454339	0.610586	0.002466	0.460485
-12.644527	-4.364242	0.615590	0.002552	0.460210
-12.730815	-4.341488	0.620595	0.002567	0.460182
-12.600421	-4.451343	0.625600	0.002544	0.459951
-12.802842	-4.407791	0.630605	0.002580	0.459850
-12.984388	-4.414125	0.635610	0.002613	0.459595
-13.270603	-4.325191	0.640614	0.002665	0.459551
-13.263597	-4.397595	0.645619	0.002664	0.459298
-13.281846	-4.405010	0.650624	0.002667	0.459247
