Tue Jun 02 09:08:45 2020

Number of Points = 3029
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-10.222957	-4.784884	0.510490	0.002020	0.461096
-10.429872	-4.779654	0.515494	0.002058	0.460851
-10.642721	-4.721148	0.520499	0.002096	0.460791
-10.610200	-4.804950	0.525504	0.002090	0.460529
-10.649469	-4.809525	0.530509	0.002097	0.460463
-11.041083	-4.747282	0.535514	0.002168	0.460188
-10.895235	-4.817026	0.540518	0.002142	0.460122
-11.219806	-4.775787	0.545523	0.002201	0.459857
-11.296223	-4.774980	0.550528	0.002214	0.459762
-11.657947	-4.703235	0.555533	0.002280	0.459560
-11.779419	-4.678473	0.560538	0.002302	0.459494
-11.656093	-4.785553	0.565542	0.002280	0.459263
-11.848028	-4.737313	0.570547	0.002314	0.459192
-12.082158	-4.706081	0.575552	0.002357	0.459006
-11.965958	-4.769115	0.580557	0.002336	0.458926
-12.080481	-4.799364	0.585562	0.002357	0.458670
-12.316253	-4.756382	0.590566	0.002399	0.458524
-12.650417	-4.686188	0.595571	0.002460	0.458350
-12.527565	-4.766393	0.600576	0.002437	0.458216
-12.510720	-4.820599	0.605581	0.002434	0.458041
-12.722186	-4.803295	0.610586	0.002473	0.457832
-13.030733	-4.720542	0.615590	0.002529	0.457737
-13.175528	-4.729649	0.620595	0.002555	0.457518
-13.191459	-4.755496	0.625600	0.002558	0.457404
-13.398982	-4.743266	0.630605	0.002595	0.457182
-13.464612	-4.742697	0.635610	0.002607	0.457099
-13.464876	-4.806315	0.640614	0.002607	0.456867
-13.395492	-4.853575	0.645619	0.002595	0.456784
-13.860970	-4.773540	0.650624	0.002679	0.456477
-13.778369	-4.816265	0.655629	0.002664	0.456427
-14.324899	-4.702628	0.660634	0.002763	0.456138
-13.746573	-4.929164	0.665638	0.002658	0.456056
-14.323628	-4.786520	0.670643	0.002763	0.455833
-14.419219	-4.795449	0.675648	0.002780	0.455677
-14.736663	-4.726442	0.680653	0.002837	0.455520
-14.377142	-4.899574	0.685658	0.002772	0.455351
-14.791448	-4.792151	0.690662	0.002847	0.455209
-15.287489	-4.683122	0.695667	0.002937	0.454968
-15.192568	-4.735513	0.700672	0.002920	0.454898
-15.079884	-4.826117	0.705677	0.002900	0.454712
-15.451948	-4.729406	0.710682	0.002967	0.454586
-15.642853	-4.717449	0.715686	0.003001	0.454383
-15.554903	-4.778377	0.720691	0.002986	0.454273
-15.480648	-4.851546	0.725696	0.002972	0.454100
-15.701212	-4.798072	0.730701	0.003012	0.454011
-16.020428	-4.769652	0.735706	0.003070	0.453702
-16.045198	-4.769121	0.740710	0.003074	0.453672
-16.192835	-4.798516	0.745715	0.003101	0.453373
-16.115809	-4.846765	0.750720	0.003087	0.453295
-16.694586	-4.707517	0.755725	0.003192	0.453057
-16.649769	-4.740960	0.760730	0.003184	0.452991
-16.651651	-4.801166	0.765734	0.003184	0.452767
-16.685175	-4.825989	0.770739	0.003190	0.452632
-17.110159	-4.727166	0.775744	0.003267	0.452445
-17.242852	-4.713754	0.780749	0.003291	0.452321
