Tue Jun 02 08:37:58 2020

Number of Points = 2997
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
2.356958	0.057425	0.000000	-0.000019	0.531292

2.346865	0.055268	0.005005	-0.000018	0.531278
2.368541	-0.045287	0.010010	-0.000023	0.530992
2.408479	-0.061621	0.015014	-0.000031	0.530989
2.264795	-0.014683	0.020019	-0.000006	0.530982
2.480293	-0.085726	0.025024	-0.000045	0.531002
2.341256	-0.075547	0.030029	-0.000021	0.530885
2.465104	-0.192440	0.035034	-0.000044	0.530660
2.426929	-0.182700	0.040038	-0.000038	0.530653
2.538944	-0.284717	0.045043	-0.000059	0.530461
2.580180	-0.335175	0.050048	-0.000067	0.530353
2.542998	-0.389536	0.055053	-0.000061	0.530146
2.466261	-0.402570	0.060058	-0.000048	0.530025
2.448610	-0.477231	0.065062	-0.000045	0.529776
2.484709	-0.537856	0.070067	-0.000053	0.529630
2.416589	-0.584980	0.075072	-0.000041	0.529411
2.182860	-0.579226	0.080077	0.000001	0.529176
2.390869	-0.704984	0.085082	-0.000038	0.529015
2.380077	-0.770567	0.090086	-0.000037	0.528802
2.321747	-0.833817	0.095091	-0.000027	0.528543
2.280432	-0.899094	0.100096	-0.000020	0.528296
2.286073	-0.981236	0.105101	-0.000022	0.528049
2.191790	-1.041680	0.110106	-0.000005	0.527758
2.322397	-1.173159	0.115110	-0.000030	0.527494
2.183365	-1.223426	0.120115	-0.000005	0.527185
2.243317	-1.344189	0.125120	-0.000017	0.526876
2.234519	-1.446359	0.130125	-0.000016	0.526548
2.337397	-1.590015	0.135130	-0.000035	0.526213
2.210159	-1.656178	0.140134	-0.000013	0.525868
2.292742	-1.801059	0.145139	-0.000029	0.525506
2.423470	-1.967782	0.150144	-0.000053	0.525129
2.377866	-2.088221	0.155149	-0.000045	0.524701
2.241813	-2.171929	0.160154	-0.000022	0.524289
2.286609	-2.301663	0.165158	-0.000030	0.523932
2.305762	-2.444972	0.170163	-0.000034	0.523503
2.215667	-2.549869	0.175168	-0.000019	0.523074
2.291299	-2.714940	0.180173	-0.000033	0.522639
2.223913	-2.843482	0.185178	-0.000022	0.522159
2.243881	-2.999098	0.190182	-0.000026	0.521691
2.370081	-3.193085	0.195187	-0.000050	0.521219
2.153087	-3.285032	0.200192	-0.000011	0.520686
2.214521	-3.451385	0.205197	-0.000023	0.520229
2.217418	-3.631445	0.210202	-0.000024	0.519661
2.151771	-3.771287	0.215206	-0.000013	0.519145
2.101958	-3.901837	0.220211	-0.000005	0.518675
2.055605	-4.057330	0.225216	0.000003	0.518129
2.081365	-4.243543	0.230221	-0.000002	0.517565
1.991356	-4.387440	0.235226	0.000013	0.517006
2.010627	-4.573037	0.240230	0.000009	0.516435
2.047096	-4.767645	0.245235	0.000002	0.515855
1.867023	-4.898946	0.250240	0.000033	0.515232
1.786356	-5.048827	0.255245	0.000047	0.514661
1.690072	-5.200548	0.260250	0.000064	0.514066
