Tue Jun 02 08:43:28 2020

Number of Points = 3018
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.652529	-0.085123	0.000000	-0.000041	0.517360

1.666344	-0.090295	0.005005	-0.000044	0.517362
1.556932	-0.077336	0.010010	-0.000025	0.517283
1.667086	-0.193793	0.015014	-0.000045	0.517036
1.614284	-0.173846	0.020019	-0.000036	0.517043
1.586188	-0.170102	0.025024	-0.000032	0.517026
1.772840	-0.259104	0.030029	-0.000066	0.516954
1.583504	-0.265533	0.035034	-0.000032	0.516722
1.582047	-0.260802	0.040038	-0.000032	0.516739
1.395840	-0.261303	0.045043	0.000001	0.516529
1.495596	-0.331341	0.050048	-0.000018	0.516420
1.618138	-0.408620	0.055053	-0.000040	0.516313
1.513712	-0.437633	0.060058	-0.000022	0.516104
1.605340	-0.520594	0.065062	-0.000039	0.515944
1.557462	-0.558269	0.070067	-0.000031	0.515771
1.450216	-0.604332	0.075072	-0.000012	0.515504
1.511110	-0.667240	0.080077	-0.000023	0.515373
1.537057	-0.747401	0.085082	-0.000028	0.515147
1.528738	-0.825816	0.090086	-0.000027	0.514887
1.646858	-0.946840	0.095091	-0.000049	0.514634
1.542311	-0.984477	0.100096	-0.000031	0.514396
1.476401	-1.049751	0.105101	-0.000019	0.514113
1.564473	-1.162962	0.110106	-0.000035	0.513850
1.556458	-1.246431	0.115110	-0.000035	0.513574
1.607065	-1.368953	0.120115	-0.000044	0.513238
1.504447	-1.431112	0.125120	-0.000026	0.512923
1.454034	-1.518349	0.130125	-0.000017	0.512585
1.425018	-1.615602	0.135130	-0.000013	0.512240
1.597964	-1.782235	0.140134	-0.000044	0.511899
1.453232	-1.847485	0.145139	-0.000019	0.511525
1.443947	-1.950962	0.150144	-0.000017	0.511181
1.461677	-2.100969	0.155149	-0.000021	0.510716
1.481645	-2.225439	0.160154	-0.000025	0.510337
1.494722	-2.346282	0.165158	-0.000028	0.509961
1.466447	-2.483804	0.170163	-0.000023	0.509483
1.514052	-2.627744	0.175168	-0.000032	0.509071
1.640714	-2.799724	0.180173	-0.000056	0.508658
1.379401	-2.860097	0.185178	-0.000009	0.508163
1.521841	-3.051633	0.190182	-0.000035	0.507704
1.239919	-3.105842	0.195187	0.000015	0.507204
1.214580	-3.243650	0.200192	0.000020	0.506726
1.195123	-3.378447	0.205197	0.000023	0.506264
1.130287	-3.524485	0.210202	0.000034	0.505713
1.269175	-3.719340	0.215206	0.000008	0.505236
1.286738	-3.887042	0.220211	0.000005	0.504707
1.106943	-3.997056	0.225216	0.000037	0.504139
1.116656	-4.146695	0.230221	0.000035	0.503660
0.930915	-4.253474	0.235226	0.000068	0.503094
1.046044	-4.452749	0.240230	0.000046	0.502573
0.984818	-4.618741	0.245235	0.000057	0.501955
0.797693	-4.719034	0.250240	0.000090	0.501408
0.723731	-4.867156	0.255245	0.000103	0.500833
0.759328	-5.054789	0.260250	0.000096	0.500255
0.701500	-5.215095	0.265254	0.000106	0.499657
-0.024015	-5.124863	0.270259	0.000237	0.499110
-1.004817	-4.927057	0.275264	0.000414	0.498621
-1.504505	-4.870566	0.280269	0.000504	0.498225
-1.788541	-4.897019	0.285274	0.000555	0.497806
-2.089040	-4.911224	0.290278	0.000608	0.497408
-2.577080	-4.853684	0.295283	0.000696	0.497029
-2.914380	-4.830684	0.300288	0.000757	0.496711
-3.152684	-4.844806	0.305293	0.000799	0.496386
-3.340346	-4.872802	0.310298	0.000833	0.496074
-3.724270	-4.832410	0.315302	0.000902	0.495759
-3.935857	-4.833253	0.320307	0.000939	0.495509
-4.268357	-4.794833	0.325312	0.000999	0.495248
-4.161796	-4.917398	0.330317	0.000979	0.494966
-4.549336	-4.868583	0.335322	0.001049	0.494674
-4.820159	-4.838221	0.340326	0.001097	0.494459
-5.157631	-4.773696	0.345331	0.001158	0.494279
-5.202245	-4.837163	0.350336	0.001165	0.494016
-5.217632	-4.894537	0.355341	0.001168	0.493807
-5.572287	-4.817476	0.360346	0.001231	0.493649
-5.923049	-4.767884	0.365350	0.001294	0.493403
-5.805888	-4.874728	0.370355	0.001273	0.493185
-6.145245	-4.804743	0.375360	0.001334	0.493021
-6.480881	-4.761506	0.380365	0.001394	0.492771
-6.298158	-4.868698	0.385370	0.001360	0.492630
-6.551621	-4.825669	0.390374	0.001406	0.492477
-6.673848	-4.862611	0.395379	0.001427	0.492210
-6.827589	-4.837115	0.400384	0.001455	0.492116
-7.363989	-4.731883	0.405389	0.001551	0.491836
-6.973158	-4.891688	0.410394	0.001480	0.491764
-7.435490	-4.800745	0.415398	0.001563	0.491524
-7.279586	-4.897921	0.420403	0.001534	0.491384
-7.648533	-4.815584	0.425408	0.001601	0.491226
-7.793303	-4.835295	0.430413	0.001626	0.490990
-7.871324	-4.835750	0.435418	0.001640	0.490898
-8.158665	-4.808970	0.440422	0.001691	0.490649
-8.257383	-4.793164	0.445427	0.001709	0.490588
-8.294448	-4.845252	0.450432	0.001715	0.490370
-8.465401	-4.816992	0.455437	0.001745	0.490265
-8.666325	-4.812959	0.460442	0.001781	0.490042
-8.923606	-4.745598	0.465446	0.001827	0.489966
-8.814845	-4.847489	0.470451	0.001807	0.489753
