Tue Jun 02 08:49:09 2020

Number of Points = 2999
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
2.421746	-0.061905	0.000000	-0.000030	0.506156

2.494872	-0.087078	0.005005	-0.000043	0.506159
2.384693	-0.047595	0.010010	-0.000023	0.506163
2.278057	-0.013851	0.015014	-0.000004	0.506152
2.338875	-0.035022	0.020019	-0.000016	0.506155
2.368278	-0.049335	0.025024	-0.000021	0.506143
2.447331	-0.150716	0.030029	-0.000036	0.505903
2.443842	-0.175983	0.035034	-0.000035	0.505818
2.538959	-0.213106	0.040038	-0.000053	0.505807
2.297533	-0.218154	0.045043	-0.000009	0.505513
2.352633	-0.234820	0.050048	-0.000020	0.505523
2.322805	-0.300004	0.055053	-0.000014	0.505276
2.271744	-0.304747	0.060058	-0.000005	0.505203
2.392561	-0.419114	0.065062	-0.000027	0.504968
2.292588	-0.406011	0.070067	-0.000010	0.504897
2.282098	-0.503680	0.075072	-0.000008	0.504564
2.421202	-0.594202	0.080077	-0.000033	0.504429
2.221218	-0.575497	0.085082	0.000003	0.504260
2.403054	-0.729221	0.090086	-0.000031	0.503966
2.420227	-0.796099	0.095091	-0.000034	0.503767
2.445601	-0.880678	0.100096	-0.000039	0.503519
2.360507	-0.938184	0.105101	-0.000024	0.503232
2.412518	-1.041382	0.110106	-0.000033	0.502953
2.333176	-1.108934	0.115110	-0.000019	0.502639
2.278454	-1.177741	0.120115	-0.000009	0.502349
2.480662	-1.357800	0.125120	-0.000046	0.501990
2.208272	-1.357123	0.130125	0.000003	0.501676
2.232366	-1.466694	0.135130	-0.000002	0.501343
2.471730	-1.655839	0.140134	-0.000045	0.500997
2.423943	-1.754658	0.145139	-0.000037	0.500614
2.480689	-1.895567	0.150144	-0.000047	0.500214
2.246427	-1.939467	0.155149	-0.000005	0.499795
2.093492	-1.999116	0.160154	0.000022	0.499419
2.145690	-2.128376	0.165158	0.000012	0.499052
2.132258	-2.239914	0.170163	0.000015	0.498666
2.128117	-2.363865	0.175168	0.000015	0.498249
2.295880	-2.553459	0.180173	-0.000015	0.497815
2.078766	-2.620491	0.185178	0.000024	0.497337
2.197584	-2.788196	0.190182	0.000002	0.496918
2.123570	-2.921290	0.195187	0.000015	0.496387
2.273261	-3.110030	0.200192	-0.000012	0.495933
2.184195	-3.235330	0.205197	0.000004	0.495409
2.144390	-3.380946	0.210202	0.000011	0.494875
2.074179	-3.502562	0.215206	0.000023	0.494385
2.165877	-3.686246	0.220211	0.000006	0.493877
2.210889	-3.872728	0.225216	-0.000002	0.493304
2.271090	-4.056672	0.230221	-0.000013	0.492757
2.066616	-4.165926	0.235226	0.000023	0.492147
2.213042	-4.379684	0.240230	-0.000003	0.491600
2.004454	-4.487880	0.245235	0.000034	0.490987
1.997537	-4.664350	0.250240	0.000035	0.490383
2.060489	-4.864412	0.255245	0.000024	0.489781
1.962490	-5.014081	0.260250	0.000041	0.489157
1.980211	-5.191512	0.265254	0.000038	0.488577
1.781915	-5.315100	0.270259	0.000073	0.487919
1.587607	-5.434467	0.275264	0.000108	0.487281
1.629914	-5.630039	0.280269	0.000100	0.486666
1.086305	-5.630525	0.285274	0.000198	0.486011
-0.548356	-5.209643	0.290278	0.000493	0.485482
-0.992250	-5.174827	0.295283	0.000573	0.485067
-1.332321	-5.189051	0.300288	0.000635	0.484609
-1.781057	-5.134051	0.305293	0.000715	0.484256
-2.118462	-5.111809	0.310298	0.000776	0.483926
-2.474876	-5.078398	0.315302	0.000840	0.483611
-2.584554	-5.135232	0.320307	0.000860	0.483284
-2.926718	-5.116887	0.325312	0.000922	0.482934
-3.247673	-5.078138	0.330317	0.000979	0.482680
-3.424848	-5.101149	0.335322	0.001011	0.482387
-3.500038	-5.153190	0.340326	0.001024	0.482118
-3.768585	-5.138121	0.345331	0.001073	0.481845
-3.985131	-5.137251	0.350336	0.001112	0.481586
-4.241349	-5.127702	0.355341	0.001158	0.481309
-4.363032	-5.162922	0.360346	0.001179	0.481041
-4.628595	-5.129842	0.365350	0.001227	0.480833
-5.036979	-5.034590	0.370355	0.001301	0.480667
-5.237381	-5.057859	0.375360	0.001337	0.480343
-4.921536	-5.212710	0.380365	0.001279	0.480194
-5.459342	-5.076489	0.385370	0.001376	0.480011
-5.928966	-4.995120	0.390374	0.001461	0.479721
-5.903154	-5.030397	0.395379	0.001456	0.479632
-5.949561	-5.078964	0.400384	0.001464	0.479409
-5.956942	-5.136576	0.405389	0.001465	0.479202
-6.207693	-5.080978	0.410394	0.001510	0.479089
-6.349260	-5.093934	0.415398	0.001536	0.478873
-6.119216	-5.217393	0.420403	0.001494	0.478727
-6.810257	-5.030197	0.425408	0.001618	0.478533
-6.949057	-5.050845	0.430413	0.001643	0.478293
-7.038961	-5.038942	0.435418	0.001659	0.478226
-7.110879	-5.096355	0.440422	0.001672	0.477940
-7.132189	-5.109263	0.445427	0.001676	0.477871
-7.817297	-4.942225	0.450432	0.001799	0.477613
-7.786535	-4.955157	0.455437	0.001793	0.477608
-7.788864	-5.036730	0.460442	0.001794	0.477322
-7.847070	-5.028476	0.465446	0.001804	0.477281
-8.200366	-4.988219	0.470451	0.001868	0.476989
-8.323590	-4.953089	0.475456	0.001890	0.476962
-8.191302	-5.065125	0.480461	0.001865	0.476736
-8.420878	-5.007845	0.485466	0.001907	0.476655
-8.650135	-4.998671	0.490470	0.001948	0.476406
-8.822105	-4.956010	0.495475	0.001979	0.476345
-8.596366	-5.093825	0.500480	0.001938	0.476144
-8.888869	-5.028078	0.505485	0.001990	0.476015
-9.012480	-5.052336	0.510490	0.002012	0.475780
-9.311378	-4.965382	0.515494	0.002066	0.475717
-9.277913	-5.042840	0.520499	0.002060	0.475489
-9.417851	-5.018306	0.525504	0.002085	0.475404
-9.669904	-4.991863	0.530509	0.002130	0.475187
-10.064057	-4.879651	0.535514	0.002201	0.475096
-9.668789	-5.054921	0.540518	0.002129	0.474971
-10.028816	-4.986573	0.545523	0.002194	0.474768
-10.198736	-4.956536	0.550528	0.002225	0.474665
-10.437424	-4.929259	0.555533	0.002268	0.474468
-10.201051	-5.030164	0.560538	0.002225	0.474408
-10.450127	-5.013784	0.565542	0.002269	0.474159
-10.501134	-5.010023	0.570547	0.002278	0.474111
-10.839194	-4.952835	0.575552	0.002339	0.473895
-10.566458	-5.067470	0.580557	0.002290	0.473832
-10.987472	-4.997988	0.585562	0.002366	0.473556
-10.920549	-5.048067	0.590566	0.002353	0.473465
-11.590699	-4.875348	0.595571	0.002474	0.473244
-11.329308	-4.971502	0.600576	0.002427	0.473231
-11.582710	-4.969455	0.605581	0.002472	0.472926
-11.661483	-4.942164	0.610586	0.002486	0.472926
-11.956987	-4.911465	0.615590	0.002539	0.472669
-11.875953	-4.948979	0.620595	0.002524	0.472640
-12.048075	-4.955462	0.625600	0.002555	0.472405
-12.108366	-4.961567	0.630605	0.002566	0.472310
-12.321033	-4.936549	0.635610	0.002604	0.472136
-12.422287	-4.940860	0.640614	0.002622	0.471997
-12.328613	-5.013572	0.645619	0.002605	0.471859
-12.755512	-4.915237	0.650624	0.002682	0.471677
-12.902325	-4.887116	0.655629	0.002708	0.471595
-13.055313	-4.893600	0.660634	0.002736	0.471383
-12.914154	-4.949564	0.665638	0.002710	0.471363
-13.194524	-4.940446	0.670643	0.002760	0.471048
-13.261731	-4.921464	0.675648	0.002772	0.471033
-13.304522	-4.981724	0.680653	0.002780	0.470769
-13.424054	-4.949101	0.685658	0.002801	0.470737
-13.697060	-4.937247	0.690662	0.002850	0.470441
-13.757951	-4.922903	0.695667	0.002861	0.470417
-13.986217	-4.911283	0.700672	0.002902	0.470175
-14.122422	-4.881640	0.705677	0.002926	0.470112
-14.419439	-4.825052	0.710682	0.002980	0.469943
-14.630225	-4.797213	0.715686	0.003018	0.469781
-14.141092	-4.980817	0.720691	0.002929	0.469743
-14.400470	-4.961203	0.725696	0.002976	0.469490
-14.486596	-4.955388	0.730701	0.002991	0.469405
-14.924597	-4.862769	0.735706	0.003070	0.469188
-14.947739	-4.862727	0.740710	0.003074	0.469161
-15.139252	-4.861763	0.745715	0.003108	0.468926
-14.982084	-4.915926	0.750720	0.003079	0.468932
-15.630985	-4.787726	0.755725	0.003196	0.468577
-15.456241	-4.843766	0.760730	0.003165	0.468599
-15.616734	-4.840160	0.765734	0.003193	0.468412
-15.742989	-4.832076	0.770739	0.003216	0.468285
-15.755315	-4.863672	0.775744	0.003218	0.468159
-15.905237	-4.868233	0.780749	0.003245	0.467956
-15.567530	-5.023024	0.785754	0.003184	0.467831
-16.046611	-4.901576	0.790758	0.003270	0.467664
-16.345659	-4.851387	0.795763	0.003324	0.467469
-16.390905	-4.873784	0.800768	0.003332	0.467335
-16.234890	-4.977457	0.805773	0.003303	0.467163
-16.424161	-4.946501	0.810778	0.003337	0.467037
-16.802319	-4.881153	0.815782	0.003405	0.466797
-16.886406	-4.877043	0.820787	0.003420	0.466708
-16.904004	-4.920553	0.825792	0.003423	0.466532
-16.999297	-4.921584	0.830797	0.003440	0.466410
-17.474533	-4.816493	0.835802	0.003526	0.466189
-17.481142	-4.844826	0.840806	0.003527	0.466082
-17.512919	-4.872687	0.845811	0.003532	0.465944
-17.660663	-4.866080	0.850816	0.003559	0.465783
-17.883020	-4.818151	0.855821	0.003599	0.465676
-18.014291	-4.834112	0.860826	0.003622	0.465456
-17.811755	-4.924501	0.865830	0.003585	0.465389
-18.165698	-4.870554	0.870835	0.003649	0.465138
-18.312609	-4.826691	0.875840	0.003675	0.465111
-18.549402	-4.827177	0.880845	0.003718	0.464813
-18.279396	-4.927140	0.885850	0.003669	0.464797
-18.647718	-4.871509	0.890854	0.003735	0.464533
-18.840913	-4.810217	0.895859	0.003770	0.464511
-18.881482	-4.874904	0.900864	0.003777	0.464229
-18.957830	-4.852819	0.905869	0.003790	0.464214
-19.236835	-4.821429	0.910874	0.003841	0.463975
-19.238627	-4.825900	0.915878	0.003841	0.463959
-19.529881	-4.804537	0.920883	0.003893	0.463669
-19.366234	-4.874816	0.925888	0.003863	0.463625
-19.415499	-4.928958	0.930893	0.003872	0.463371
-19.803925	-4.812709	0.935898	0.003942	0.463298
-19.899846	-4.850471	0.940902	0.003959	0.463043
-19.874186	-4.877136	0.945907	0.003954	0.462981
-19.991025	-4.907289	0.950912	0.003975	0.462726
-20.168454	-4.858225	0.955917	0.004007	0.462680
-20.470352	-4.840280	0.960922	0.004061	0.462363
-20.300515	-4.900722	0.965926	0.004030	0.462363
-20.742125	-4.831668	0.970931	0.004110	0.462053
-20.585947	-4.888585	0.975936	0.004081	0.462048
-20.911187	-4.857239	0.980941	0.004140	0.461749
-20.830829	-4.892005	0.985946	0.004125	0.461728
-21.072241	-4.885382	0.990950	0.004168	0.461447
-21.361401	-4.789644	0.995955	0.004220	0.461426
-21.531110	-4.821333	1.000960	0.004251	0.461098

-21.665348	-4.832241	1.010957	0.004275	0.460891
-21.699832	-4.847848	1.020954	0.004280	0.460794
-21.991754	-4.816472	1.030950	0.004333	0.460539
-21.996451	-4.831506	1.040947	0.004333	0.460482
-21.985212	-4.836191	1.050944	0.004330	0.460483
-22.098367	-4.797061	1.060941	0.004350	0.460484
-22.207294	-4.835930	1.070938	0.004370	0.460208
